name,styleUrl,longitude,latitude,ward
"ELECTRIC HOUSE, COLABA DEPOT",0,72.830029,18.920099,    A   
"COLABA BUS STATION, POST OFFICE",0,72.820905,18.911184,    A   
DHOBI GHAT (NAVY NAGAR),0,72.812432,18.906977,    A   
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),0,72.831553,18.926071,    A   
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),0,72.831582,18.926225,    A   
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),0,72.832901,18.925783,    A   
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),0,72.832048,18.924066,    A   
FOREIGN POST OFFICE,0,72.840318,18.935157,    A   
FOREIGN POST OFFICE,0,72.840309,18.935012,    A   
G.T.HOSPITAL,0,72.831718,18.946082,    B   
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS (GPO),0,72.836604,18.938434,    A   
HUTATMA CHOWK,0,72.831785,18.933019,    A   
HUTATMA CHOWK,0,72.83135,18.931275,    A   
BALLARD PIER,0,72.840365,18.937162,    A   
JOHAR CHOWK (BHENDI BAZAAR),0,72.832421,18.958243,    E   
JOHAR CHOWK (BHENDI BAZAAR),0,72.831613,18.959001,    E   
JOHAR CHOWK (BHENDI BAZAAR),0,72.831869,18.95957,    E   
JOHAR CHOWK (BHENDI BAZAAR),0,72.831869,18.959507,    E   
KHADI BHANDAR,0,72.834326,18.937637,    A   
MAHATMA PHULE MARKET (CRAWFORD MARKET),0,72.835392,18.947169,    B   
MAHATMA PHULE MARKET (CRAWFORD MARKET),0,72.833997,18.945415,    B   
RAILWAY CROSSING (MANDVI),0,72.84616,18.95911,    E   
"MANDVI POST OFFICE, MINARA MASJID",0,72.832879,18.955732,    B   
HUTATMA CHOWK,0,72.83136,18.930796,    A   
HUTATMA CHOWK,0,72.83138,18.929703,    A   
OLD CUSTOM HOUSE,0,72.834873,18.929787,    A   
PILOT BUNDER,0,72.815832,18.90473,    A   
RESERVE BANK OF INDIA (FORT),0,72.836219,18.932651,    A   
"SASOON DOCK, COLABA FIRE STATION",0,72.826236,18.91594,    A   
HORNIMAN CIRCLE,0,72.834131,18.93153,    A   
STRAND CINEMA,0,72.827089,18.916844,    A   
SWADESHI MARKET,0,72.828886,18.949251,    B   
SWAMI DAYANAND SARASWATI CHOWK (FORT),0,72.836966,18.937043,    A   
SWAMI DAYANAND SARASWATI CHOWK (FORT),0,72.837375,18.935905,    A   
TADWADI (MAZGAON),0,72.839319,18.964454,    E   
MALLET BUNDER,0,72.847281,18.958045,    E   
MALLET BUNDER,0,72.847347,18.957963,    E   
VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),0,72.830371,18.944997,    B   
VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),0,72.830125,18.943055,    B   
SWAMI DAYANAND SARASWATI CHOWK (FORT),0,72.838069,18.934297,    A   
VIJAY VALLABH CHOWK (PYDHONIE),0,72.83212,18.954882,    B   
VIJAY VALLABH CHOWK (PYDHONIE),0,72.832167,18.954945,    B   
ZAKERIA MASJID,0,72.834239,18.952462,    B   
R.C.CHURCH (COLABA),0,72.813918,18.900103,    A   
M.T.PARK,0,72.811738,18.907473,    A   
FIRE BRIGADE,0,72.840253,18.947317,    A   
ZAKERIA MASJID,0,72.832918,18.954105,    B   
CHINCH BUNDER,0,72.838517,18.958283,    E   
MAZGAON DOCK,0,72.846706,18.96576,    E   
KHADI BHANDAR,0,72.834155,18.93723,    A   
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0,72.834696,18.938468,    A   
INS ASHWINI HOSPITAL,0,72.814677,18.901522,    A   
BALLARD PIER,0,72.84027,18.937189,    A   
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),0,72.83535,18.939165,    A   
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),0,72.835521,18.939083,    A   
BHULESHWAR,0,72.830032,18.952803,    B   
BHULESHWAR,0,72.829663,18.95208,    B   
CARNAC BUNDER,0,72.840916,18.949946,    B   
CENTRAL RAILWAY GOODS,0,72.843567,18.960617,    E   
CHAKALA MARKET,0,72.834506,18.950222,    B   
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),0,72.834789,18.941143,    A   
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),0,72.833222,18.940762,    A   
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),0,72.833432,18.939064,    A   
COLABA BUS STATION,0,72.823191,18.912649,    A   
VIJAY VALLABH CHOWK,0,72.831949,18.954448,    B   
KENDRIYA VIDYALAYA 3 (COLABA),0,72.810354,18.895411,    A   
ANJEERWADI,0,72.840243,18.973543,    E   
BEST COLONY (WADALA),0,72.853807,19.012688,    F/S   
BEST COLONY (BHOIWADA),0,72.848018,19.005448,    F/S   
BHARATMATA CINEMA,0,72.837749,18.995151,    F/S   
BUSA UDHYOG BHAVAN,0,72.850786,18.999677,    F/S   
BYCULLA STATION (E),0,72.833747,18.974469,    E   
BYCULLA STATION (E),0,72.833452,18.976149,    E   
"BYCULLA STATION (EAST), GLORIA CHURCH",0,72.834668,18.97559,    E   
KHODADAD CIRCLE (DADAR TT),0,72.845599,19.015113,    F/S   
KHODADAD CIRCLE (DADAR TT),0,72.848199,19.018602,    F/N   
KHODADAD CIRCLE (DADAR TT),0,72.849044,19.019722,    F/N   
RUIA COLLEGE (MATUNGA-E),0,72.850724,19.021295,    F/N   
RUIA COLLEGE (MATUNGA-E),0,72.850533,19.022379,    F/N   
RUIA COLLEGE (MATUNGA-E),0,72.850286,19.022533,    F/N   
SHANTARAM PUJARE CHOWK (KALA CHOWKY),0,72.836595,18.988375,    E   
SAHAKAR NAGAR (WADALA-W),0,72.851139,19.012108,    F/S   
SEWREE NAKA,0,72.849998,18.9987,    F/S   
"SEWREE POLICE STATION, DARUKHANA",0,72.849052,18.97962,    E   
SHARDA CINEMA,0,72.846122,19.014309,    F/S   
SHARDA CINEMA,0,72.846455,19.014074,    F/S   
SHARDA CINEMA,0,72.846379,19.014101,    F/S   
SHINDEWADI (DADAR-E),0,72.843236,19.011669,    F/S   
SPRING MILL,0,72.848119,19.010073,    F/S   
SPRING MILL,0,72.848613,19.011221,    F/S   
T.B.HOSPITAL (KIDWAI NAGAR),0,72.851799,19.005043,    F/S   
TATA HOSPITAL (BHOIWADA),0,72.842919,19.004333,    F/S   
TATA HOSPITAL (BHOIWADA),0,72.842748,19.004216,    F/S   
"VITTHAL MANDIR, WADALA MARKET",0,72.852484,19.016454,    F/N   
WADALA CHURCH,0,72.855285,19.018389,    F/N   
WADALA CHURCH,0,72.855978,19.019103,    F/N   
WADALA BUS DEPOT,0,72.852695,19.014738,    F/N   
WADALA CHURCH,0,72.856425,19.01848,    F/N   
WADIA MATERNITY HOSPITAL,0,72.842682,19.002852,    F/S   
DADAR STATION (E),0,72.844116,19.017506,    F/S   
INDIRA NAGAR (SEWREE),0,72.85457,18.992749,    F/S   
COAL BUNDER,0,72.85828,18.98332,    E   
CANTEEN STORES,0,72.853685,18.981619,    E   
I.C.I. (SEWREE),0,72.851453,18.980877,    E   
JIJAMATA MUNICIPAL SCHOOL(BYCULLA-E),0,72.840182,18.980264,    E   
NEW HIND MILL MHADA COLONY,0,72.841015,18.983779,    E   
BYCULLA STATION (E),0,72.833698,18.977604,    E   
BHARATMATA CINEMA,0,72.838433,18.994799,    F/S   
WADALA STATION (W),0,72.858886,19.016973,    F/N   
WADALA STATION (W),0,72.860167,19.0185,    F/N   
"INDIRA NAGAR, FROSBERRY ROAD",0,72.851905,18.986587,    F/S   
SEWREE KOLIWADA SCHOOL,0,72.856382,18.999902,    F/S   
A.H.ANSARI CHOWK (NAGPADA),0,72.832696,18.970602,    E   
A.H.ANSARI CHOWK (NAGPADA),0,72.832716,18.970268,    E   
AGRIPADA POLICE STATION,0,72.824031,18.977416,    E   
AIR CONDITION MARKET,0,72.814386,18.973515,    D   
ALANKAR CINEMA,0,72.826981,18.957579,    B   
"MAHARASHTRA COLLEGE, ALEXANDRA CINEMA",0,72.827353,18.967292,    E   
ANJUMAN COLLEGE,0,72.825648,18.96177,    E   
ANJUMAN COLLEGE,0,72.825848,18.961653,    E   
B.P.T COLONY (DOCKYARD RD),0,72.841485,18.964166,    E   
BHATIA HOSPITAL,0,72.812969,18.965049,    D   
BHATIA HOSPITAL,0,72.81295,18.964363,    D   
BREACH CANDY HOSPITAL,0,72.804948,18.972252,    D   
BYCULLA STATION (W),0,72.832169,18.977269,    E   
BYCULLA STATION (W),0,72.832179,18.976654,    E   
BYCULLA STATION (W),0,72.832037,18.976501,    E   
CHRIST CHURCH SCHOOL,0,72.83001,18.96976,    E   
DOCKYARD ROAD RAILWAY STATION,0,72.844484,18.966183,    E   
DARUKHANA,0,72.845316,18.971396,    E   
DARUKHANA,0,72.845221,18.971631,    E   
AZAD FLOUR MILL,0,72.841052,18.985369,    E   
GADI ADDA,0,72.853885,18.994646,    F/S   
MAHATMA GANDHI HOSPITAL (PAREL),0,72.840359,18.997384,    F/S   
MAHATMA GANDHI HOSPITAL (PAREL),0,72.840758,18.997809,    F/S   
GANESH TALKIES (LALBAUG),0,72.83461,18.989738,    F/S   
GHODAPDEV,0,72.842839,18.982073,    E   
HAKOBA,0,72.83877,18.988268,    F/S   
