Sl No,State Code,State Name,District Code,District Name,Sub dist code,Sub dist name,Town Code,Town Name,Ward Code,Total Population,Total Males,Total Females,SC Population,SC Males,SC Females,ST Population,ST Males,ST Females,Ward Name
1,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1043,99427,55206,44221,5137,2547,2590,588,326,262,H/E
2,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1045,185572,101137,84435,18186,9300,8886,1802,1037,765,H/E
3,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1048,272240,149523,122717,11172,5932,5240,1790,1084,706,H/E
4,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1139,47123,26017,21106,563,286,277,75,43,32,H/W
5,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1140,36739,18219,18520,394,183,211,73,37,36,H/W
6,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1141,48710,24372,24338,2708,1321,1387,232,125,107,H/W
7,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1142,59337,34141,25196,1827,952,875,1974,1010,964,H/W
8,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1143,29539,14915,14624,2882,1414,1468,155,89,66,H/W
9,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1144,18855,9387,9468,166,79,87,15,6,9,H/W
10,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1145,12322,6223,6099,167,88,79,29,16,13,H/W
11,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1146,26671,13333,13338,255,136,119,193,90,103,H/W
12,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1147,28285,15090,13195,749,387,362,118,84,34,H/W
13,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1249,164831,86280,78551,9458,4870,4588,1413,749,664,K/E
14,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1255,393391,213532,179859,16331,8414,7917,4532,2352,2180,K/E
15,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1256,265663,140843,124820,7975,4003,3972,1672,856,816,K/E
16,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1350,57426,30444,26982,1143,574,569,339,157,182,K/W
17,27,MAHARASHTRA,518,Mumbai Suburban,99999,Greater Mumbai (M Corp.) (Part),802794,Greater Mumbai (M Corp.),1351,99002,57893,41109,1463,780,683,720,371,349,K/W
