name,styleUrl,longitude,latitude,ward
"ELECTRIC HOUSE, COLABA DEPOT",0,72.830029,18.920099,NW-19
"COLABA BUS STATION, POST OFFICE",0,72.820905,18.911184,NW-19
DHOBI GHAT (NAVY NAGAR),0,72.812432,18.906977,NW-19
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),0,72.831553,18.926071,NW-19
FOREIGN POST OFFICE,0,72.840318,18.935157,NW-19
G.T.HOSPITAL,0,72.831718,18.946082,NW-4
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS (GPO),0,72.836604,18.938434,NW-19
HUTATMA CHOWK,0,72.831785,18.933019,NW-19
BALLARD PIER,0,72.840365,18.937162,NW-19
JOHAR CHOWK (BHENDI BAZAAR),0,72.832421,18.958243,NW-13
KHADI BHANDAR,0,72.834326,18.937637,NW-19
MAHATMA PHULE MARKET (CRAWFORD MARKET),0,72.835392,18.947169,NW-4
RAILWAY CROSSING (MANDVI),0,72.84616,18.95911,NW-13
"MANDVI POST OFFICE, MINARA MASJID",0,72.832879,18.955732,NW-4
OLD CUSTOM HOUSE,0,72.834873,18.929787,NW-19
PILOT BUNDER,0,72.815832,18.90473,NW-19
RESERVE BANK OF INDIA (FORT),0,72.836219,18.932651,NW-19
"SASOON DOCK, COLABA FIRE STATION",0,72.826236,18.91594,NW-19
HORNIMAN CIRCLE,0,72.834131,18.93153,NW-19
STRAND CINEMA,0,72.827089,18.916844,NW-19
SWADESHI MARKET,0,72.828886,18.949251,NW-4
SWAMI DAYANAND SARASWATI CHOWK (FORT),0,72.836966,18.937043,NW-19
TADWADI (MAZGAON),0,72.839319,18.964454,NW-13
MALLET BUNDER,0,72.847281,18.958045,NW-13
VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),0,72.830371,18.944997,NW-4
VIJAY VALLABH CHOWK (PYDHONIE),0,72.83212,18.954882,NW-4
ZAKERIA MASJID,0,72.834239,18.952462,NW-4
R.C.CHURCH (COLABA),0,72.813918,18.900103,NW-19
M.T.PARK,0,72.811738,18.907473,NW-19
FIRE BRIGADE,0,72.840253,18.947317,NW-13
CHINCH BUNDER,0,72.838517,18.958283,NW-13
MAZGAON DOCK,0,72.846706,18.96576,NW-13
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0,72.834696,18.938468,NW-19
INS ASHWINI HOSPITAL,0,72.814677,18.901522,NW-19
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),0,72.83535,18.939165,NW-19
BHULESHWAR,0,72.830032,18.952803,NW-4
CARNAC BUNDER,0,72.840916,18.949946,NW-13
CENTRAL RAILWAY GOODS,0,72.843567,18.960617,NW-13
CHAKALA MARKET,0,72.834506,18.950222,NW-4
